ip,hostname,city,region,country,loc,org,postal,timezone
190.113.252.207,,Zarcero,Alajuela Province,CR,"10.1845,-84.3916",AS262241 COOPERATIVA DE ELECTRIFICACION RURAL DE ALFARO RUIZ R.L.,21101,America/Costa_Rica
2604:3d09:8879:4700:2d03:7efa:a1a2:f5c0,,Edmonton,Alberta,CA,"53.5482,-113.4318",AS6327 Shaw Communications Inc.,T6A,America/Edmonton
168.195.126.171,,Zarcero,Alajuela Province,CR,"10.1845,-84.3916",AS262241 COOPERATIVA DE ELECTRIFICACION RURAL DE ALFARO RUIZ R.L.,21101,America/Costa_Rica
191.246.238.141,191-246-238-141.3g.claro.net.br,Ananindeua,Pará,BR,"-1.3656,-48.3722",AS22085 Claro S/A,67000-000,America/Belem
2601:40:3:21f8:9833:878:6255:e34e,,Philadelphia,Pennsylvania,US,"39.9524,-75.1636","AS33287 Comcast Cable Communications, LLC",19099,America/New_York
2001:8f8:1a3d:c546:501:c436:5b78:a85b,,Sharjah,Sharjah,AE,"25.3374,55.4121",AS5384 EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC,,Asia/Dubai
2001:861:4640:b240:6c8b:d540:f112:7506,,Mantes-la-Jolie,Île-de-France,FR,"48.9905,1.7167",AS5410 Bouygues Telecom SA,78713 CEDEX,Europe/Paris
2601:40:3:64a:dcc:f965:341b:7f42,,Philadelphia,Pennsylvania,US,"39.9524,-75.1636","AS33287 Comcast Cable Communications, LLC",19099,America/New_York
2601:40:3:1386:2cc3:bef9:2eab:cd41,,Philadelphia,Pennsylvania,US,"39.9524,-75.1636","AS33287 Comcast Cable Communications, LLC",19099,America/New_York
73.81.147.250,,Philadelphia,Pennsylvania,US,"39.9524,-75.1636","AS33287 Comcast Cable Communications, LLC",19099,America/New_York
2601:244:201:ad0:1dbf:4451:1207:5348,,Hammond,Indiana,US,"41.5878,-87.4532","AS33491 Comcast Cable Communications, LLC",46323,America/Chicago
118.96.155.227,,Yogyakarta,Yogyakarta,ID,"-7.8014,110.3647",AS7713 PT Telekomunikasi Indonesia,,Asia/Jakarta
2601:40:3:ae1:d1be:eef6:ed8:9213,,Philadelphia,Pennsylvania,US,"39.9524,-75.1636","AS33287 Comcast Cable Communications, LLC",19099,America/New_York
2601:40:3:11b0:b4bf:dd59:e437:1ee0,,Philadelphia,Pennsylvania,US,"39.9524,-75.1636","AS33287 Comcast Cable Communications, LLC",19099,America/New_York
2403:4800:2407:8a84:48a6:a884:9e50:e267,,Sydney,New South Wales,AU,"-33.8678,151.2073",AS9443 Vocus Retail,1040,Australia/Sydney
2607:f2c0:e562:561:71f4:ce6:47a5:ce64,,Kitchener,Ontario,CA,"43.4581,-80.4818","AS5645 TekSavvy Solutions, Inc.",N2H,America/Toronto
2601:40:3:1ee0:81dc:3366:7374:9d70,,Philadelphia,Pennsylvania,US,"39.9524,-75.1636","AS33287 Comcast Cable Communications, LLC",19099,America/New_York
71.2.154.33,nc-71-2-154-33.dhcp.embarqhsd.net,Fayetteville,North Carolina,US,"35.0527,-78.8784","AS209 CenturyLink Communications, LLC",28301,America/New_York
108.162.189.197,108-162-189-197.cable.teksavvy.com,Toronto,Ontario,CA,"43.5637,-79.7202","AS5645 TekSavvy Solutions, Inc.",L5M,America/Toronto
2601:40:5:a33:946e:fc8a:ac35:e55b,,Philadelphia,Pennsylvania,US,"39.9524,-75.1636","AS33287 Comcast Cable Communications, LLC",19099,America/New_York
2601:40:5:12ed:5de3:b497:f486:18c1,,Philadelphia,Pennsylvania,US,"39.9524,-75.1636","AS33287 Comcast Cable Communications, LLC",19099,America/New_York
174.1.32.13,,Vancouver,British Columbia,CA,"49.2620,-123.0923",AS6327 Shaw Communications Inc.,V5T,America/Vancouver
